id,date,municipality,province,area_ha,lat,lon,p_fuego,prediction
277940,2025-08-10,Uña de Quintana,Zamora,40081,42.0874013,-6.1427858,0.9923,1
278475,2025-08-14,Rúa, A,Ourense,37185,42.3879535,-7.1436214,0.9934,1
277944,2025-08-09,Benuza,León,26241,42.4005361,-6.7086507,0.9930,1
278477,2025-08-15,Veiga, A,Ourense,24947,42.1378213,-7.9300289,0.9937,1
278348,2025-08-13,Oímbra,Ourense,24471,41.8857802,-7.4715679,0.9933,1
278504,2025-08-08,Manzaneda,Ourense,24456,42.3098629,-7.2350007,0.9933,1
278481,2025-08-14,Burón,León,19112,43.0244821,-5.0514632,0.9925,1
279768,2025-08-13,Navaconcejo,Cáceres,17317,40.1767957,-5.8296185,0.9883,1
278347,2025-08-12,Mezquita, A,Ourense,12026,42.0444565,-7.0192944,0.9909,1
278498,2025-08-13,Puertas,Salamanca,10823,41.0972025,-6.2869626,0.9928,1
279404,2025-08-10,Peranzanes,León,7821,42.8769244,-6.6328486,0.9923,1
277955,2025-08-21,Murias de Paredes,León,7070,42.8502169,-6.1912448,0.9891,1
278483,2025-08-16,Guardo,Palencia,6862,42.7895455,-4.846288,0.9895,1
278485,2025-08-14,Llerena,Badajoz,5829,38.2378976,-6.0149901,0.9930,1
273143,2025-07-01,Oliola,Lleida,5247,41.8758085,1.1737519,0.9937,1
277918,2025-08-10,Maceda,Ourense,4725,42.2708159,-7.6508391,0.9915,1
277945,2025-08-09,Carucedo,León,4416,42.4903276,-6.7613409,0.9932,1
277936,2025-08-12,Gallegos del Río,Zamora,4317,41.7352273,-6.1736307,0.0016,0
277953,2025-08-09,Villablino,León,4285,42.9388713,-6.3183421,0.9913,1
278488,2025-08-15,Cáceres,Cáceres,3739,39.4745175,-6.3716761,0.9889,1
278489,2025-08-15,Casar de Cáceres,Cáceres,3614,39.5614765,-6.4171236,0.9869,1
274755,2025-07-17,Valmojado,Toledo,3247,40.2043735,-4.0908078,0.9950,1
278478,2025-08-15,Carballeda de Avia,Ourense,3096,42.3208186,-8.1648727,0.9884,1
278334,2025-08-12,Villar del Pedroso,Cáceres,3084,39.7059204,-5.1959371,0.9925,1
281635,2025-09-21,Cardoso de la Sierra, El,Guadalajara,2968,41.0952437,-3.4645105,0.9924,1
278753,2025-08-15,Ávila,Ávila,2942,40.656478,-4.7002172,0.9892,1
276078,2025-07-29,Caminomorisco,Cáceres,2694,40.3263492,-6.2911549,0.9917,1
274252,2025-07-07,Alfara de Carles,Tarragona,2650,40.8738809,0.400045,0.9894,1
275045,2025-07-19,Castilblanco,Badajoz,2418,39.2886967,-5.0871836,0.9934,1
278487,2025-08-14,Alburquerque,Badajoz,2346,39.2190169,-6.9999295,0.9929,1
275869,2025-07-29,Mombeltrán,Ávila,2231,40.2594639,-5.0167649,0.9912,1
278425,2025-08-13,Riofrío de Aliste,Zamora,2142,41.8159422,-6.1767542,0.9921,1
278333,2025-08-12,Madrid,Madrid,2037,40.4237276,-3.6899043,0.1175,0
281574,2025-09-18,Pantón,Lugo,1987,42.5085938,-7.6423646,0.9941,1
278422,2025-08-14,Vilardevós,Ourense,1825,41.9073842,-7.312875,0.9933,1
275052,2025-07-18,Navaluenga,Ávila,1615,40.4101393,-4.7079974,0.9928,1
278656,2025-08-10,Pernía, La,Palencia,1603,42.9715874,-4.5799699,0.9926,1
279225,2025-08-24,Soto y Amío,León,1546,42.7792845,-5.8858371,0.9933,1
271222,2025-06-10,Burguillos,Sevilla,1443,37.5858509,-5.9678094,0.9923,1
